circulos,eleitores-inscritos,votantes,votos-nulos
Aveiro,359353,330999,17333
Beja,140243,129121,9574
Braga,360707,337297,21143
Bragança,110219,100517,9956
Castelo Branco,168951,153208,17227
Coimbra,296398,264113,26352
Évora,134318,127119,6070
Faro,226111,205334,18853
Guarda,138184,126934,12444
Leiria,267451,241585,24162
Lisboa,1384149,1269638,72222
Portalegre,107331,102255,7438
Porto,892474,837507,43486
Santarém,320953,294991,25501
Setúbal,403399,377224,20790
Viana do Castelo,156999,12200
Vila Real,159110,140511,16012
Viseu,262457,235097,18831
Angra do Heroismo,49698,45196,1592
Funchal,140060,126329,5501
Horta,25422,22936,909
Ponta Delgada,84299,76506,5198
Macau,3437,2876,224
Moçambique,17739,6080,3584
Emigração,21910,18385,273
